year,candidate,color
2004,Gloria_Arroyo,#B0E0E6
2004,Fernando_Poe,#0038A8
2004,Panfilo_Lacson,#C4C4FF
2004,Raul_Roco,#9683EC
2004,Eddie_Villanueva,#3F9727
2010,Benigno_Aquino,#F0E68C
2010,Joseph_Estrada,#FFA500
2010,Manny_Villar,#98FB98
2010,Gilbert_Teodoro,#B0E0E6
2010,Eddie_Villanueva,#9ACD32
2010,Dick_Gordon,#EB0304
2010,Nicanor_Perlas,#EAECF0
2010,Jamby_Madrigal,#BFBFBF
2010,John_delosReyes,#003C74
2010,Jejomar_Binay,#FFD700
2010,Mar_Roxas,#F0E68C
2010,Loren_Legarda,#4AA02C
2010,Bayani_Fernando,#EB0304
2010,Edu_Manzano,#B0E0E6
2010,Perfecto_Yasay,#9ACD32
2010,Jay_Sonza,#EB0000
2010,Dominador_Chipeco,#003C74
2016,Rodrigo_Duterte,#FFD700
2016,Mar_Roxas,#F0E68C
2016,Grace_Poe,#0070C0
2016,Jejomar_Binay,#FE4D00
2016,Miriam_Santiago,#F08080
2016,Leni_Robredo,#F0E68C
2016,Bongbong_Marcos,#F08080
2016,Alan_Cayetano,#FFD700
2016,Chiz_Escudero,#0070C0
2016,Sonny_Trillanes,#C00000
2016,Gringo_Honasan,#FE4D00
2022,Bongbong_Marcos,#0D5F31
2022,Leni_Robredo,#FE18A3
2022,Manny_Pacquiao,#F8F9FA
2022,Isko_Moreno,#9683EC
2022,Panfilo_Lacson,#004777
2022,Faisal_Mangondato,#D2691E
2022,Ernesto_Abella,#0E2864
2022,Leody_deGuzman,#BE2D32
2022,Norberto_Gonzales,#CD5C5C
2022,Jose_Montemayor, #0054A5
2022,Sara_Duterte,#B0E0E6
2022,Kiko_Pangilinan,#F0E68C
2022,Tito_Sotto,#4AA02C
2022,Willie_Ong,#9683EC
2022,Lito_Atienza,#F8F9FA
2022,Manny_Lopez,#00039F
2022,Walden_Bello,#BE2D32
2022,Carlos_Serapio,#D2691E
2022,Rizalito_David,#0054A5
